Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;SMA_14;SMA_50;RSI_14;MACD;MACD_Signal;BB_Middle;BB_Upper;BB_Lower;Zmiennosc;Target_Regresja;Target_Klasyfikacja
03.01.2000;288,12;289,3;288,12;289;286,85;289,47;75,65;0,09;-0,82;284,97;292,56;277,38;1,18;282,38;0
04.01.2000;286,75;286,75;279,95;282,38;286,82;289,33;49,12;-0,34;-0,72;284,93;292,56;277,29;6,8;280,85;0
05.01.2000;282,27;283,45;279,75;280,85;286,74;289,08;47,48;-0,79;-0,74;284,87;292,61;277,13;3,7;281,45;1
06.01.2000;280,8;281,75;279,45;281,45;286,58;288,72;44,7;-1,08;-0,8;285,01;292,37;277,66;2,3;281,75;1
07.01.2000;281,25;283,3;280,88;281,75;286,41;288,37;44,16;-1,28;-0,9;285,15;292,12;278,19;2,42;281,6;0
10.01.2000;281,25;282,5;281,12;281,6;285,97;288,19;32,11;-1,43;-1;285,21;292,03;278,38;1,38;283,3;1
11.01.2000;281,62;284,1;280,75;283,3;285,72;288,03;40,11;-1,39;-1,08;285,36;291,85;278,86;3,35;282,55;0
12.01.2000;283,2;283,3;281,5;282,55;285,41;287,84;38,17;-1,41;-1,15;285,35;291,86;278,84;1,8;284,2;1
13.01.2000;282,12;284,7;281,38;284,2;285,15;287,67;40,87;-1,28;-1,17;285,46;291,8;279,12;3,32;284,2;0
14.01.2000;284,25;285,18;283,05;284,2;284,88;287,54;40,1;-1,16;-1,17;285,49;291,8;279,18;2,13;285,5;1
17.01.2000;284,2;286;284,2;285,5;284,57;287,46;38,5;-0,95;-1,13;285,56;291,83;279,28;1,8;288,8;1
18.01.2000;285,52;288,9;285,2;288,8;284,44;287,39;45,5;-0,51;-1;285,61;291,98;279,23;3,7;289,65;1
19.01.2000;288,52;290,1;286,85;289,65;284,53;287,22;53,45;-0,09;-0,82;285,75;292,36;279,14;3,25;288,45;0
20.01.2000;289,5;289,5;287,6;288,45;284,55;287,11;50,48;0,14;-0,63;285,82;292,52;279,12;1,9;289,1;1
21.01.2000;288,4;289,4;287,05;289,1;284,56;287,07;50,24;0,38;-0,43;285,89;292,7;279,08;2,35;287,6;0
24.01.2000;289,12;289,12;286,5;287,6;284,93;286,99;66,86;0,43;-0,25;285,87;292,65;279,09;2,62;286,12;0
25.01.2000;287,62;290,83;285,75;286,12;285,3;286,82;67,08;0,36;-0,13;285,69;292,22;279,16;5,08;286,05;0
26.01.2000;285,6;287;284,9;286,05;285,63;286,64;65,44;0,29;-0,05;285,46;291,55;279,36;2,1;287,05;1
27.01.2000;286,1;287,25;285,55;287,05;286,01;286,5;66,99;0,31;0,02;285,39;291,39;279,4;1,7;283,35;0
28.01.2000;286,95;287,62;282;283,35;286,14;286,26;54,57;0,03;0,02;285,15;291,05;279,24;5,62;283,5;1
31.01.2000;282,75;284,25;282,75;283,5;286,15;286,03;50,57;-0,18;-0,02;284,87;290,53;279,22;1,5;282,65;0
01.02.2000;283,55;284,15;282,35;282,65;286,16;285,72;50,28;-0,41;-0,1;284,89;290,52;279,25;1,8;284,95;1
